市町村,,,令和２年３月19日現在,,,
法人番号,名称,所在地,備考,,,
5000020044237,富谷町,宮城県黒川郡富谷町富谷字坂松田３０,平成28年10月10日 市制移行により閉鎖,,,
5000020044245,大衡村,宮城県黒川郡大衡村大衡字平林６２,,,,
8000020044440,色麻町,宮城県加美郡色麻町四竃字北谷地４１,,,,
7000020044458,加美町,宮城県加美郡加美町字西田三番５,,,,
5000020045012,涌谷町,宮城県遠田郡涌谷町字新町裏１５３－２,,,,
3000020045055,美里町,宮城県遠田郡美里町北浦字駒米１３,,,,
7000020045811,女川町,宮城県牡鹿郡女川町女川１丁目１番地１,,,,
4000020046060,南三陸町,宮城県本吉郡南三陸町志津川字沼田１０１番地,,,,
3000020052019,秋田市,秋田県秋田市山王１丁目１－１,,,,
3000020052027,能代市,秋田県能代市上町１－３,,,,
3000020052035,横手市,秋田県横手市中央町８－２,,,,
3000020052043,大館市,秋田県大館市字中城２０,,,,
2000020052060,男鹿市,秋田県男鹿市船川港船川字泉台６６－１,,,,
1000020052078,湯沢市,秋田県湯沢市佐竹町１－１,,,,
1000020052094,鹿角市,秋田県鹿角市花輪字荒田４－１,,,,
5000020052108,由利本荘市,秋田県由利本荘市尾崎１７,,,,
5000020052116,潟上市,秋田県潟上市天王字棒沼台２２６－１,,,,
5000020052124,大仙市,秋田県大仙市大曲花園町１－１,,,,
5000020052132,北秋田市,秋田県北秋田市花園町１９－１,,,,
4000020052141,にかほ市,秋田県にかほ市象潟町字浜ノ田１,,,,
3000020052159,仙北市,秋田県仙北市田沢湖生保内字宮ノ後３０,,,,
5000020053031,小坂町,秋田県鹿角郡小坂町小坂字上谷地４１－１,,,,
5000020053279,上小阿仁村,秋田県北秋田郡上小阿仁村小沢田字向川原１１８,,,,
9000020053465,藤里町,秋田県山本郡藤里町藤琴字藤琴８,,,,
9000020053481,三種町,秋田県山本郡三種町鵜川字岩谷子８,,,,
8000020053490,八峰町,秋田県山本郡八峰町峰浜目名潟字目長田１１８,,,,
4000020053619,五城目町,秋田県南秋田郡五城目町西磯ノ目１丁目１－１,,,,
4000020053635,八郎潟町,秋田県南秋田郡八郎潟町字大道８０,,,,
3000020053660,井川町,秋田県南秋田郡井川町北川尻字海老沢樋ノ口７８－１,,,,
2000020053686,大潟村,秋田県南秋田郡大潟村字中央１－１,,,,
9000020054348,美郷町,秋田県仙北郡美郷町土崎字上野乙１７０－１０,,,,
6000020054631,羽後町,秋田県雄勝郡羽後町西馬音内字中野１７７,,,,
5000020054640,東成瀬村,秋田県雄勝郡東成瀬村田子内字仙人下３０－１,,,,
7000020062014,山形市,山形県山形市旅篭町２丁目３番２５号,,,,
7000020062022,米沢市,山形県米沢市金池５丁目２番２５号,,,,
6000020062031,鶴岡市,山形県鶴岡市馬場町９－２５,,,,
5000020062049,酒田市,山形県酒田市本町２丁目２－４５,,,,
5000020062057,新庄市,山形県新庄市沖の町１０－３７,,,,
5000020062065,寒河江市,山形県寒河江市中央１丁目９－４５,,,,
5000020062073,上山市,山形県上山市河崎１丁目１－１０,,,,
5000020062081,村山市,山形県村山市中央１丁目３－６,,,,
4000020062090,長井市,山形県長井市ままの上５－１,,,,
9000020062103,天童市,山形県天童市老野森１丁目１－１,,,,
9000020062111,東根市,山形県東根市中央１丁目１－１,,,,
8000020062120,尾花沢市,山形県尾花沢市若葉町１丁目１－３,,,,
7000020062138,南陽市,山形県南陽市三間通４３６－１,,,,
8000020063011,山辺町,山形県東村山郡山辺町緑ケ丘５,,,,
7000020063029,中山町,山形県東村山郡中山町大字長崎１２０,,,,
2000020063215,河北町,山形県西村山郡河北町谷地戊８１,,,,
2000020063223,西川町,山形県西村山郡西川町大字海味５１０,,,,
2000020063231,朝日町,山形県西村山郡朝日町大字宮宿１１１５,,,,
1000020063240,大江町,山形県西村山郡大江町大字左沢８８２－１,,,,
5000020063410,大石田町,山形県北村山郡大石田町緑町１,,,,
8000020063614,金山町,山形県最上郡金山町大字金山３２４－１,,,,
8000020063622,最上町,山形県最上郡最上町大字向町６４４,,,,
7000020063631,舟形町,山形県最上郡舟形町舟形２６３,,,,
6000020063649,真室川町,山形県最上郡真室川町大字新町１２７－５,,,,
6000020063657,大蔵村,山形県最上郡大蔵村大字清水２５２８,,,,
6000020063665,鮭川村,山形県最上郡鮭川村大字佐渡２００３－７,,,,
6000020063673,戸沢村,山形県最上郡戸沢村大字古口２７０,,,,
1000020063819,高畠町,山形県東置賜郡高畠町大字高畠４３６,,,,
1000020063827,川西町,山形県東置賜郡川西町大字上小松１５６７,,,,
9000020064017,小国町,山形県西置賜郡小国町大字小国小坂町２丁目７０,,,,
9000020064025,白鷹町,山形県西置賜郡白鷹町大字荒砥甲８３３,,,,
9000020064033,飯豊町,山形県西置賜郡飯豊町大字椿２８８８,,,,
2000020064262,三川町,山形県東田川郡三川町大字横山字西田８５,,,,
9000020064289,庄内町,山形県東田川郡庄内町余目字町１３２－１,,,,
9000020064611,遊佐町,山形県飽海郡遊佐町遊佐字舞鶴２１１,,,,
1000020072010,福島市,福島県福島市五老内町３－１,,,,
9000020072028,会津若松市,福島県会津若松市東栄町３－４６,,,,
9000020072036,郡山市,福島県郡山市朝日１丁目２３－７,,,,
9000020072044,いわき市,福島県いわき市平字梅本２１,,,,
9000020072052,白河市,福島県白河市八幡小路７－１,,,,
7000020072079,須賀川市,福島県須賀川市八幡町１３５,,,,
7000020072087,喜多方市,福島県喜多方市字御清水東７２４４－２,,,,
7000020072095,相馬市,福島県相馬市中村字北町６３－３,,,,
2000020072109,二本松市,福島県二本松市金色４０３－１,,,,
2000020072117,田村市,福島県田村市船引町船引字畑添７６－２,,,,
2000020072125,南相馬市,福島県南相馬市原町区本町２丁目２７,,,,
2000020072133,伊達市,福島県伊達市保原町字舟橋１８０,,,,
2000020072141,本宮市,福島県本宮市本宮字万世２１２,,,,
2000020073016,桑折町,福島県伊達郡桑折町字東大隅１８,,,,
2000020073032,国見町,福島県伊達郡国見町大字藤田字一丁田二１番７,,,,
9000020073083,川俣町,福島県伊達郡川俣町字五百田３０,,,,
4000020073229,大玉村,福島県安達郡大玉村玉井字星内７０,,,,
8000020073423,鏡石町,福島県岩瀬郡鏡石町不時沼３４５,,,,
7000020073440,天栄村,福島県岩瀬郡天栄村大字下松本字原畑７８,,,,
1000020073628,下郷町,福島県南会津郡下郷町大字塩生字大石１０００,,,,
1000020073644,檜枝岐村,福島県南会津郡檜枝岐村字下ノ原８８７番地１,,,,
8000020073679,只見町,福島県南会津郡只見町大字只見字雨堤１０３９,,,,
8000020073687,南会津町,福島県南会津郡南会津町田島字後原甲３５３１－１,,,,
3000020074021,北塩原村,福島県耶麻郡北塩原村大字北山字姥ケ作３１５１,,,,
2000020074055,西会津町,福島県耶麻郡西会津町野沢字下小屋上乙３３０８,,,,
2000020074071,磐梯町,福島県耶麻郡磐梯町大字磐梯字中ノ橋１８５５,,,,
1000020074080,猪苗代町,福島県耶麻郡猪苗代町字城南１００,,,,
6000020074217,会津坂下町,福島県河沼郡会津坂下町字市中三番甲３６６２,,,,
